NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
,240879,UKHO ID,68924,UK Hydrographic Office
,517575,UKHO ID,65433,UK Hydrographic Office
,506939,UKHO ID,64813,UK Hydrographic Office
,274510,UKHO ID,62819,UK Hydrographic Office
,518883,UKHO ID,62529,UK Hydrographic Office
,519172,UKHO ID,62448,UK Hydrographic Office
,307941,UKHO ID,60841,UK Hydrographic Office
,506934,UKHO ID,58785,UK Hydrographic Office
,273164,UKHO ID,58707,UK Hydrographic Office
,240154,UKHO ID,58693,UK Hydrographic Office
,240507,UKHO ID,58682,UK Hydrographic Office
,240780,UKHO ID,58577,UK Hydrographic Office
,518448,UKHO ID,58576,UK Hydrographic Office
,240887,UKHO ID,58544,UK Hydrographic Office
,240905,UKHO ID,58321,UK Hydrographic Office
,240167,UKHO ID,58270,UK Hydrographic Office
,273260,UKHO ID,58214,UK Hydrographic Office
,273261,UKHO ID,58212,UK Hydrographic Office
,416746,UKHO ID,57907,UK Hydrographic Office
,407804,UKHO ID,57907,UK Hydrographic Office
,240794,UKHO ID,57798,UK Hydrographic Office
,240805,UKHO ID,57797,UK Hydrographic Office
,240793,UKHO ID,57746,UK Hydrographic Office
,401254,UKHO ID,57742,UK Hydrographic Office
,506966,UKHO ID,57741,UK Hydrographic Office
,506964,UKHO ID,57740,UK Hydrographic Office
,91226,UKHO ID,57613,UK Hydrographic Office
,302153,UKHO ID,57602,UK Hydrographic Office
,544414,UKHO ID,16131,UK Hydrographic Office
,544430,UKHO ID,16130,UK Hydrographic Office
,544433,UKHO ID,16129,UK Hydrographic Office
,544431,UKHO ID,16128,UK Hydrographic Office
,544415,UKHO ID,16127,UK Hydrographic Office
,544404,UKHO ID,16126,UK Hydrographic Office
,544435,UKHO ID,16122,UK Hydrographic Office
,544436,UKHO ID,16121,UK Hydrographic Office
,544434,UKHO ID,16119,UK Hydrographic Office
,544437,UKHO ID,16118,UK Hydrographic Office
,240674,UKHO ID,12641,UK Hydrographic Office
,274508,UKHO ID,12591,UK Hydrographic Office
,274506,UKHO ID,12587,UK Hydrographic Office
,240679,UKHO ID,12584,UK Hydrographic Office
,240768,UKHO ID,12570,UK Hydrographic Office
,240002,UKHO ID,12570,UK Hydrographic Office
,240825,UKHO ID,12552,UK Hydrographic Office
,240824,UKHO ID,12545,UK Hydrographic Office
,240806,UKHO ID,12543,UK Hydrographic Office
,240158,UKHO ID,12541,UK Hydrographic Office
,240168,UKHO ID,12537,UK Hydrographic Office
,274030,UKHO ID,12530,UK Hydrographic Office
,273817,UKHO ID,12524,UK Hydrographic Office
,240827,UKHO ID,12524,UK Hydrographic Office
,409374,UKHO ID,12523,UK Hydrographic Office
,418100,UKHO ID,12522,UK Hydrographic Office
,240841,UKHO ID,12521,UK Hydrographic Office
,240838,UKHO ID,12513,UK Hydrographic Office
,240834,UKHO ID,12512,UK Hydrographic Office
,240842,UKHO ID,12511,UK Hydrographic Office
,274358,UKHO ID,12509,UK Hydrographic Office
,240833,UKHO ID,12507,UK Hydrographic Office
,274359,UKHO ID,12506,UK Hydrographic Office
,240840,UKHO ID,12505,UK Hydrographic Office
,309544,UKHO ID,12504,UK Hydrographic Office
,516078,UKHO ID,12503,UK Hydrographic Office
,240839,UKHO ID,12502,UK Hydrographic Office
,274368,UKHO ID,12498,UK Hydrographic Office
,274182,UKHO ID,12497,UK Hydrographic Office
,410311,UKHO ID,12495,UK Hydrographic Office
,240169,UKHO ID,12495,UK Hydrographic Office
,274190,UKHO ID,12494,UK Hydrographic Office
,240843,UKHO ID,12493,UK Hydrographic Office
,273882,UKHO ID,12490,UK Hydrographic Office
,274371,UKHO ID,12487,UK Hydrographic Office
,274197,UKHO ID,12486,UK Hydrographic Office
,240823,UKHO ID,12485,UK Hydrographic Office
,240792,UKHO ID,12484,UK Hydrographic Office
,240800,UKHO ID,12483,UK Hydrographic Office
,240801,UKHO ID,12482,UK Hydrographic Office
,240003,UKHO ID,12482,UK Hydrographic Office
,274666,UKHO ID,12477,UK Hydrographic Office
,240130,UKHO ID,12476,UK Hydrographic Office
,273720,UKHO ID,12473,UK Hydrographic Office
,274032,UKHO ID,12471,UK Hydrographic Office
,274505,UKHO ID,12469,UK Hydrographic Office
,274193,UKHO ID,12468,UK Hydrographic Office
,240808,UKHO ID,12466,UK Hydrographic Office
,274373,UKHO ID,12465,UK Hydrographic Office
,240809,UKHO ID,12463,UK Hydrographic Office
,273721,UKHO ID,12462,UK Hydrographic Office
,274639,UKHO ID,12459,UK Hydrographic Office
,240810,UKHO ID,12458,UK Hydrographic Office
,274667,UKHO ID,12457,UK Hydrographic Office
,274148,UKHO ID,12454,UK Hydrographic Office
,274362,UKHO ID,12453,UK Hydrographic Office
,274363,UKHO ID,12452,UK Hydrographic Office
,240812,UKHO ID,12451,UK Hydrographic Office
,274022,UKHO ID,12450,UK Hydrographic Office
,240811,UKHO ID,12450,UK Hydrographic Office
,274364,UKHO ID,12449,UK Hydrographic Office
,274360,UKHO ID,12447,UK Hydrographic Office
,274026,UKHO ID,12446,UK Hydrographic Office
,274167,UKHO ID,12445,UK Hydrographic Office
,274173,UKHO ID,12444,UK Hydrographic Office
,274033,UKHO ID,12443,UK Hydrographic Office
,240152,UKHO ID,12442,UK Hydrographic Office
,240807,UKHO ID,12442,UK Hydrographic Office
,274187,UKHO ID,12440,UK Hydrographic Office
,240814,UKHO ID,12438,UK Hydrographic Office
,240820,UKHO ID,12437,UK Hydrographic Office
,273722,UKHO ID,12436,UK Hydrographic Office
,274366,UKHO ID,12435,UK Hydrographic Office
,274273,UKHO ID,12434,UK Hydrographic Office
,240630,UKHO ID,12433,UK Hydrographic Office
,273718,UKHO ID,12432,UK Hydrographic Office
,274110,UKHO ID,12431,UK Hydrographic Office
,274171,UKHO ID,12428,UK Hydrographic Office
,274192,UKHO ID,12427,UK Hydrographic Office
,240929,UKHO ID,12426,UK Hydrographic Office
,240927,UKHO ID,12426,UK Hydrographic Office
,274684,UKHO ID,12422,UK Hydrographic Office
,273719,UKHO ID,12421,UK Hydrographic Office
,240928,UKHO ID,12420,UK Hydrographic Office
,302164,UKHO ID,12385,UK Hydrographic Office
,240862,UKHO ID,12384,UK Hydrographic Office
,114200,UKHO ID,12356,UK Hydrographic Office
,515465,UKHO ID,12347,UK Hydrographic Office
,240752,UKHO ID,12336,UK Hydrographic Office
,240871,UKHO ID,12327,UK Hydrographic Office
,273652,UKHO ID,12325,UK Hydrographic Office
,273670,UKHO ID,12324,UK Hydrographic Office
,240324,UKHO ID,12321,UK Hydrographic Office
,273213,UKHO ID,12318,UK Hydrographic Office
,272618,UKHO ID,12310,UK Hydrographic Office
,273151,UKHO ID,12309,UK Hydrographic Office
,240869,UKHO ID,12306,UK Hydrographic Office
,240867,UKHO ID,12304,UK Hydrographic Office
,274212,UKHO ID,12299,UK Hydrographic Office
,274271,UKHO ID,12284,UK Hydrographic Office
,240632,UKHO ID,12283,UK Hydrographic Office
,240633,UKHO ID,12281,UK Hydrographic Office
,516033,UKHO ID,12280,UK Hydrographic Office
,273254,UKHO ID,12276,UK Hydrographic Office
,274671,UKHO ID,12275,UK Hydrographic Office
,506336,UKHO ID,12274,UK Hydrographic Office
,240117,UKHO ID,12272,UK Hydrographic Office
,240636,UKHO ID,12264,UK Hydrographic Office
,240005,UKHO ID,12183,UK Hydrographic Office
,273059,UKHO ID,12172,UK Hydrographic Office
,506378,UKHO ID,12171,UK Hydrographic Office
,411,UKHO ID,12170,UK Hydrographic Office
,273150,UKHO ID,12164,UK Hydrographic Office
,506476,UKHO ID,12163,UK Hydrographic Office
,506475,UKHO ID,12162,UK Hydrographic Office
,518429,UKHO ID,12161,UK Hydrographic Office
,506489,UKHO ID,12160,UK Hydrographic Office
,273146,UKHO ID,12159,UK Hydrographic Office
,273056,UKHO ID,12158,UK Hydrographic Office
,273259,UKHO ID,12156,UK Hydrographic Office
,507031,UKHO ID,12154,UK Hydrographic Office
,507140,UKHO ID,12153,UK Hydrographic Office
,273399,UKHO ID,12152,UK Hydrographic Office
,506474,UKHO ID,12151,UK Hydrographic Office
,506383,UKHO ID,12150,UK Hydrographic Office
,506473,UKHO ID,12149,UK Hydrographic Office
,506382,UKHO ID,12148,UK Hydrographic Office
,519178,UKHO ID,12146,UK Hydrographic Office
,519179,UKHO ID,12145,UK Hydrographic Office
,506367,UKHO ID,12143,UK Hydrographic Office
,518289,UKHO ID,12142,UK Hydrographic Office
,519174,UKHO ID,12141,UK Hydrographic Office
,525233,UKHO ID,12140,UK Hydrographic Office
,516031,UKHO ID,12139,UK Hydrographic Office
,506486,UKHO ID,12132,UK Hydrographic Office
,518425,UKHO ID,12128,UK Hydrographic Office
,518427,UKHO ID,12125,UK Hydrographic Office
,240094,UKHO ID,12124,UK Hydrographic Office
,273047,UKHO ID,12123,UK Hydrographic Office
,273074,UKHO ID,12121,UK Hydrographic Office
,506523,UKHO ID,12116,UK Hydrographic Office
,272977,UKHO ID,12113,UK Hydrographic Office
,272921,UKHO ID,12112,UK Hydrographic Office
,273021,UKHO ID,12109,UK Hydrographic Office
,506481,UKHO ID,12108,UK Hydrographic Office
,506483,UKHO ID,12106,UK Hydrographic Office
,273147,UKHO ID,12105,UK Hydrographic Office
,273149,UKHO ID,12100,UK Hydrographic Office
,506479,UKHO ID,12096,UK Hydrographic Office
,506394,UKHO ID,12095,UK Hydrographic Office
,273114,UKHO ID,12093,UK Hydrographic Office
,273195,UKHO ID,12089,UK Hydrographic Office
,273200,UKHO ID,12088,UK Hydrographic Office
,274909,UKHO ID,12087,UK Hydrographic Office
,240302,UKHO ID,12086,UK Hydrographic Office
,506376,UKHO ID,12084,UK Hydrographic Office
,272607,UKHO ID,12083,UK Hydrographic Office
,518428,UKHO ID,12081,UK Hydrographic Office
,240281,UKHO ID,12080,UK Hydrographic Office
,273552,UKHO ID,12079,UK Hydrographic Office
,272569,UKHO ID,12078,UK Hydrographic Office
,506380,UKHO ID,12076,UK Hydrographic Office
,506379,UKHO ID,12075,UK Hydrographic Office
,506488,UKHO ID,12074,UK Hydrographic Office
,273212,UKHO ID,12073,UK Hydrographic Office
,273238,UKHO ID,12072,UK Hydrographic Office
,273253,UKHO ID,12066,UK Hydrographic Office
,273206,UKHO ID,12063,UK Hydrographic Office
,240728,UKHO ID,12062,UK Hydrographic Office
,273243,UKHO ID,12058,UK Hydrographic Office
,272842,UKHO ID,12056,UK Hydrographic Office
,273347,UKHO ID,12051,UK Hydrographic Office
,506472,UKHO ID,12048,UK Hydrographic Office
,273050,UKHO ID,12047,UK Hydrographic Office
,273005,UKHO ID,12046,UK Hydrographic Office
,272682,UKHO ID,12045,UK Hydrographic Office
,273247,UKHO ID,12040,UK Hydrographic Office
,240881,UKHO ID,12038,UK Hydrographic Office
,273239,UKHO ID,12037,UK Hydrographic Office
,518426,UKHO ID,12036,UK Hydrographic Office
,273250,UKHO ID,12035,UK Hydrographic Office
,273217,UKHO ID,12031,UK Hydrographic Office
,240880,UKHO ID,12030,UK Hydrographic Office
,273097,UKHO ID,12029,UK Hydrographic Office
,240254,UKHO ID,12028,UK Hydrographic Office
,240886,UKHO ID,12027,UK Hydrographic Office
,273406,UKHO ID,12026,UK Hydrographic Office
,273245,UKHO ID,12024,UK Hydrographic Office
,240256,UKHO ID,12023,UK Hydrographic Office
,273201,UKHO ID,12022,UK Hydrographic Office
,273244,UKHO ID,12016,UK Hydrographic Office
,506385,UKHO ID,12014,UK Hydrographic Office
,240258,UKHO ID,12013,UK Hydrographic Office
,272175,UKHO ID,12012,UK Hydrographic Office
,240884,UKHO ID,12011,UK Hydrographic Office
,273405,UKHO ID,12008,UK Hydrographic Office
,273165,UKHO ID,12007,UK Hydrographic Office
,506446,UKHO ID,12006,UK Hydrographic Office
,273248,UKHO ID,12005,UK Hydrographic Office
,273329,UKHO ID,12004,UK Hydrographic Office
,506490,UKHO ID,12001,UK Hydrographic Office
,506395,UKHO ID,11993,UK Hydrographic Office
,273218,UKHO ID,11992,UK Hydrographic Office
,273549,UKHO ID,11991,UK Hydrographic Office
,273180,UKHO ID,11990,UK Hydrographic Office
,273546,UKHO ID,11987,UK Hydrographic Office
,273231,UKHO ID,11985,UK Hydrographic Office
,273169,UKHO ID,11981,UK Hydrographic Office
,273235,UKHO ID,11977,UK Hydrographic Office
,506370,UKHO ID,11974,UK Hydrographic Office
,518432,UKHO ID,11973,UK Hydrographic Office
,240877,UKHO ID,11972,UK Hydrographic Office
,274844,UKHO ID,11968,UK Hydrographic Office
,273390,UKHO ID,11965,UK Hydrographic Office
,273233,UKHO ID,11961,UK Hydrographic Office
,273225,UKHO ID,11960,UK Hydrographic Office
,273252,UKHO ID,11959,UK Hydrographic Office
,240969,UKHO ID,11958,UK Hydrographic Office
,518436,UKHO ID,11957,UK Hydrographic Office
,272619,UKHO ID,11954,UK Hydrographic Office
,506434,UKHO ID,11953,UK Hydrographic Office
,240313,UKHO ID,11952,UK Hydrographic Office
,506435,UKHO ID,11951,UK Hydrographic Office
,273138,UKHO ID,11949,UK Hydrographic Office
,506372,UKHO ID,11944,UK Hydrographic Office
,506373,UKHO ID,11943,UK Hydrographic Office
,518433,UKHO ID,11938,UK Hydrographic Office
,518434,UKHO ID,11937,UK Hydrographic Office
,518431,UKHO ID,11934,UK Hydrographic Office
,274841,UKHO ID,11932,UK Hydrographic Office
,273216,UKHO ID,11931,UK Hydrographic Office
,518440,UKHO ID,11930,UK Hydrographic Office
,273163,UKHO ID,11926,UK Hydrographic Office
,518439,UKHO ID,11924,UK Hydrographic Office
,273224,UKHO ID,11923,UK Hydrographic Office
,518438,UKHO ID,11921,UK Hydrographic Office
,506390,UKHO ID,11919,UK Hydrographic Office
,274657,UKHO ID,11918,UK Hydrographic Office
,506388,UKHO ID,11917,UK Hydrographic Office
,518437,UKHO ID,11913,UK Hydrographic Office
,273166,UKHO ID,11910,UK Hydrographic Office
,516029,UKHO ID,11909,UK Hydrographic Office
,506387,UKHO ID,11908,UK Hydrographic Office
,506386,UKHO ID,11905,UK Hydrographic Office
,516032,UKHO ID,11902,UK Hydrographic Office
,506429,UKHO ID,11901,UK Hydrographic Office
,518402,UKHO ID,11900,UK Hydrographic Office
,518404,UKHO ID,11899,UK Hydrographic Office
,518403,UKHO ID,11897,UK Hydrographic Office
,516030,UKHO ID,11895,UK Hydrographic Office
,506431,UKHO ID,11892,UK Hydrographic Office
,506400,UKHO ID,11889,UK Hydrographic Office
,240874,UKHO ID,11888,UK Hydrographic Office
,519171,UKHO ID,11885,UK Hydrographic Office
,519058,UKHO ID,11884,UK Hydrographic Office
,516035,UKHO ID,11883,UK Hydrographic Office
,519173,UKHO ID,11877,UK Hydrographic Office
,544446,UKHO ID,11876,UK Hydrographic Office
,544417,UKHO ID,11819,UK Hydrographic Office
,516025,UKHO ID,11818,UK Hydrographic Office
,519177,UKHO ID,11811,UK Hydrographic Office
,516026,UKHO ID,11727,UK Hydrographic Office
,516024,UKHO ID,11696,UK Hydrographic Office
,519175,UKHO ID,11684,UK Hydrographic Office
,544407,UKHO ID,11676,UK Hydrographic Office
,544393,UKHO ID,11675,UK Hydrographic Office
,544397,UKHO ID,11674,UK Hydrographic Office
,544399,UKHO ID,11672,UK Hydrographic Office
,519186,UKHO ID,11670,UK Hydrographic Office
,544418,UKHO ID,11668,UK Hydrographic Office
,544406,UKHO ID,11666,UK Hydrographic Office
,544394,UKHO ID,11665,UK Hydrographic Office
,544420,UKHO ID,11664,UK Hydrographic Office
,544400,UKHO ID,11662,UK Hydrographic Office
,544423,UKHO ID,11659,UK Hydrographic Office
,544426,UKHO ID,11657,UK Hydrographic Office
,544421,UKHO ID,11656,UK Hydrographic Office
,544401,UKHO ID,11655,UK Hydrographic Office
,544416,UKHO ID,11654,UK Hydrographic Office
,544402,UKHO ID,11652,UK Hydrographic Office
,519189,UKHO ID,11651,UK Hydrographic Office
,544424,UKHO ID,11650,UK Hydrographic Office
,544427,UKHO ID,11649,UK Hydrographic Office
,544410,UKHO ID,11648,UK Hydrographic Office
,544428,UKHO ID,11646,UK Hydrographic Office
